title,serial
"Anime Eikaiwa - 15 Shounen Hyouryuuki - Hitomi no Naka no Shounen (Japan) (En,Ja)",SLPM-65027
"Anime Eikaiwa - Tondemo Nezumi Daikatsuyaku (Japan) (En,Ja)",SLPM-65029
"Anime Eikaiwa - Tottoi (Japan) (En,Ja)",SLPM-65028
"Anime Super Remix, The - Ashita no Joe 2 (Japan)",SLPM-65143
"Anime Super Remix, The - Kyojin no Hoshi (Japan)",SLPM-65142
Another Century's Episode (Japan),SLPS-25394
Another Century's Episode (Japan),SLPS-73227
Another Century's Episode 2 - Special Vocal Version (Japan),SLPS-25829
Another Century's Episode 2 (Japan),SLPS-25623
Another Century's Episode 3 - The Final (Japan),SLPS-25784
"Ant Bully, The (Europe) (En,Fr)",SLES-54178
"Ant Bully, The (Europe) (En,Fr,De,Es,It)",SLES-54152
"Antz Extreme Racing (Europe) (En,Fr,De,Es,It)",SLES-50964
Antz Extreme Racing (USA),SLUS-20392
Anubis - Zone of the Enders - Special Edition (Japan),SLPM-65500
Anubis - Zone of the Enders - Special Edition (Japan),SLPM-65991
Anubis - Zone of the Enders - Special Edition (Japan) (Shokai Genteiban),SLPM-65361
Anubis - Zone of the Enders (Japan),SLPM-65236
Anubis - Zone of the Enders (Japan) (Taikenban 1),SLPM-61035
Anubis - Zone of the Enders (Japan) (Taikenban 2),SLPM-60200
Anubis II (Europe),SLES-53571
Ao no mama de... (Japan),SLPM-65736
Ao no mama de... (Japan) (Treasure Box),SLPM-65735
Aoi Shiro (Japan),SLPM-66959
Aoi Shiro (Japan) (Genteiban),SLPM-66958
Aoi Sora no Neosphere - Nanoca Flanka Hatsumei Koubouki 2 (Japan),SLPS-25749
Aoi Sora no Neosphere - Nanoca Flanka Hatsumei Koubouki 2 (Japan) (Shokai Genteiban),SLPS-25748
Aoi Umi no Tristia - Nanoca Flanka Hatsumei Koubouki (Japan),SLPS-25514
Aoi Umi no Tristia - Nanoca Flanka Hatsumei Koubouki (Japan),SLPS-25700
Aoi Umi no Tristia - Nanoca Flanka Hatsumei Koubouki (Japan) (Shokai Genteiban),SLPS-25513
Ape Escape - Pumped & Primed (China),SCCS-40016
Ape Escape - Pumped & Primed (USA),SLUS-21096
Ape Escape 2 (China),SCCS-40001
Ape Escape 2 (Europe),SCES-50885
Ape Escape 2 (Europe) (Demo),SCED-51366
Ape Escape 2 (France),SCES-51102
Ape Escape 2 (France) (Beta) (2002-10-28),SCES-51102
Ape Escape 2 (Germany),SCES-51104
Ape Escape 2 (Italy),SCES-51103
Ape Escape 2 (Spain),SCES-51105
Ape Escape 2 (USA),SLUS-20685
"Ape Escape 3 (Europe) (En,Fr,De,Es,It)",SCES-53642
"Ape Escape 3 (Europe) (En,Fr,De,Es,It) (Beta) (2006-02-21)",SCES-53642
Ape Escape 3 (USA),SCUS-97501
Ape Escape 3 (USA) (Demo),SCUS-97548
Apocripha-0 (Japan),SLPM-65710
Appleseed EX (Japan),SLPM-66551
"Aqua Aqua - Wetrix 2 (Europe) (En,Fr,De,Es,It)",SLES-50053
Aqua Aqua (USA),SLUS-20162
Aqua Kids (Japan),SLPM-65670
Aqua Kids (Korea),SLKA-25161
Aqua Teen Hunger Force - Zombie Ninja Pro-Am (Europe),SLES-54788
Aqua Teen Hunger Force - Zombie Ninja Pro-Am (USA),SLUS-21633
Aquaqua (Japan),SLPS-20027
Ar tonelico - Melody of Elemia (Europe),SLES-54586
Ar tonelico - Melody of Elemia (USA),SLUS-21445
Ar tonelico - Sekai no Owari de Utai Tsuzukeru Shoujo (Japan),SLPS-25604
Ar tonelico - Sekai no Owari de Utai Tsuzukeru Shoujo (Japan) (PlayStation 2 the Best),SLPS-73249
Ar tonelico II - Melody of Metafalica (Europe),SLES-55444
Ar tonelico II - Sekai ni Hibiku Shoujo-tachi no Metafalica (Japan),SLPS-25819
Ar tonelico II - Sekai ni Hibiku Shoujo-tachi no Metafalica (Japan) (PlayStation 2 the Best),SLPS-73263
Arabians Lost - The Engagement on Desert (Japan),SLPM-66847
Arangjeon - Breakblow (Korea),SLKA-25371
"Arc - Twilight of the Spirits (Europe) (En,Fr,De,Es,It)",SCES-51910
"Arc - Twilight of the Spirits (Europe) (En,Fr,De,Es,It) (Beta) (2003-11-18)",SCES-51910
Arc the Lad - End of Darkness (USA),SLUS-21165
"Arc the Lad - Generation (Japan, Asia)",SCAJ-20108
"Arc the Lad - Generation (Japan, Asia)",SCPS-15058
Arc the Lad - Jeongryeongui Hwanghon - Premiere Disc (Korea),SCKA-90011
Arc the Lad - Jeongryeongui Hwanghon (Korea),SCKA-20012
Arc the Lad - Jing Ling Zhi Huang Hun (Asia),SCAJ-20038
Arc the Lad - Seirei no Tasogare - Premiere Disc (Japan) (Demo),PAPX-90230
Arc the Lad - Seirei no Tasogare (China),SCCS-40007
Arc the Lad - Seirei no Tasogare (Japan) (Premium Box),SCPS-15040
"Arc the Lad - Seirei no Tasogare (Japan, Asia)",SCAJ-20019
"Arc the Lad - Seirei no Tasogare (Japan, Asia)",SCPS-15041
Arc the Lad - Twilight of the Spirits (USA),SCUS-97231
Arc the Lad - Twilight of the Spirits (USA) (Demo),SCUS-97282
Arcade Action - 30 Games (Europe),SLES-52949
Arcade Classics Volume 1 (Europe),SLES-52902
"Arcade USA (Europe, Australia)",SLES-53446
"Arcade, The (Europe) (En,Fr,De,Es,It,Nl)",SLES-52778
Arcana Heart (Japan),SLPM-55106
Arcana Heart (Japan),SLPM-66850
Arcana Heart (USA),SLUS-21720
Arcobaleno! (Japan),SLPM-55168
Arcobaleno! (Japan),SLPM-55169
"Arctic Thunder (Europe) (En,Fr,De)",SLES-50274
Arctic Thunder (USA),SLUS-20217
Arctic Thunder (USA) (Demo),SLUS-29007
Are You Smarter than a 5th Grader Make the Grade (USA),SLUS-21755
Area 51 (Europe) (Demo),SLED-53440
"Area 51 (Europe) (En,Fr,De,Es,It) (v1.02)",SLES-52570
"Area 51 (Europe) (En,Fr,De,Es,It) (v2.00)",SLES-52570
"Area 51 (Germany) (En,Fr,De,Es,It)",SLES-53075
Area 51 (Japan),SLPM-66468
Area 51 (USA),SLUS-20595
Arena Football (USA),SLUS-21337
Argus no Senshi (Japan) (Taikenban),SLPM-61036
Argus Zhanshi (Asia),SCAJ-20016
Argus-ui Jeonsa (Korea),SCKA-20006
Aria - The Natural - Tooi Yume no Mirage (Japan),SLPM-66536
Aria - The Natural - Tooi Yume no Mirage (Japan),SLPM-66967
Aria - The Origination - Aoi Hoshi no El Cielo (Japan),SLPM-55014
Armen Noir (Japan),SLPM-55282
Armored Core - Formula Front (Japan),SLPS-25461
Armored Core - Formula Front (Korea),SLKA-25270
Armored Core - Last Raven (Europe),SLES-53820
Armored Core - Last Raven (Japan),SLPS-25462
Armored Core - Last Raven (Japan),SLPS-73247
Armored Core - Last Raven (Japan) (Champion Tokubetsu-ban),SLPM-68520
Armored Core - Last Raven (Japan) (Famitsuu Gentei Taikenban),SLPM-61118
Armored Core - Last Raven (Japan) (Machine Side Box),SLPS-25730
Armored Core - Last Raven (Japan) (Taikenban),SLPM-61119
Armored Core - Last Raven (USA),SLUS-21338
Armored Core - Nexus (Europe) (Disc 1) (Evolution),SLES-82036
Armored Core - Nexus (Europe) (Disc 2) (Revolution),SLES-82037
Armored Core - Nexus (Japan) (Disc 1) (Evolution),SLPS-25338
Armored Core - Nexus (Japan) (Disc 2) (Revolution),SLPS-25339
Armored Core - Nexus (USA) (Disc 1) (Evolution),SLUS-20986
Armored Core - Nexus (USA) (Disc 2) (Revolution),SLUS-21079
Armored Core - Nine Breaker (Europe),SLES-53819
Armored Core - Nine Breaker (Japan),SLPS-25408
Armored Core - Nine Breaker (Korea),SCKA-20047
Armored Core - Nine Breaker (USA),SLUS-21200
Armored Core 2 - Another Age (Asia),SCPS-55024
Armored Core 2 - Another Age (China),SCCS-40011
Armored Core 2 - Another Age (Europe),SLES-50905
Armored Core 2 - Another Age (Japan),SLPS-25040
Armored Core 2 - Another Age (Japan),SLPS-73411
Armored Core 2 - Another Age (USA),SLUS-20249
Armored Core 2 (Europe),SLES-50079
Armored Core 2 (Europe) (Beta) (2000-11-13),SLES-50079
Armored Core 2 (Japan),SLPS-25007
Armored Core 2 (Japan),SLPS-25731
Armored Core 2 (USA),SLUS-20014
Armored Core 3 - Silent Line (Japan),SLPS-25169
Armored Core 3 - Silent Line (Japan),SLPS-73420
Armored Core 3 - Silent Line (Korea),SLKA-25041
Armored Core 3 (Europe),SLES-51399
